FHIRJPCoreImplementationGuide
=========================================

/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/Coverage-jp-coverage-example-1.json: line 72, col 4, Error - system'http://terminology.hl7.org/CodeSystem/v3-ActCode'で未知のコード'PUBLICPOL' (CODEINVALID)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/MedicationRequest-jp-medicationrequest-example-1.json: line 10, col 6, Error - スライシングは評価できません：スライス MedicationRequest.identifier:requestIdentifierInstitution のいずれのdiscriminator ([system]) もプロファイル http://jpfhir.jp/fhir/core/StructureDefinition/JP_MedicationRequest|1.2.0-dev に一致させることができませんでした - 1 discriminator [system] のいずれも固定値、バインディング、存在アサーションを持っていません (PROCESSING)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/MedicationRequest-jp-medicationrequest-example-1.json: line 14, col 6, Error - スライシングは評価できません：スライス MedicationRequest.identifier:requestIdentifierInstitution のいずれのdiscriminator ([system]) もプロファイル http://jpfhir.jp/fhir/core/StructureDefinition/JP_MedicationRequest|1.2.0-dev に一致させることができませんでした - 1 discriminator [system] のいずれも固定値、バインディング、存在アサーションを持っていません (PROCESSING)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/MedicationRequest-jp-medicationrequest-example-1.json: line 18, col 6, Error - スライシングは評価できません：スライス MedicationRequest.identifier:requestIdentifierInstitution のいずれのdiscriminator ([system]) もプロファイル http://jpfhir.jp/fhir/core/StructureDefinition/JP_MedicationRequest|1.2.0-dev に一致させることができませんでした - 1 discriminator [system] のいずれも固定値、バインディング、存在アサーションを持っていません (PROCESSING)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/MedicationRequest-jp-medicationrequest-example-2.json: line 10, col 6, Error - スライシングは評価できません：スライス MedicationRequest.identifier:requestIdentifierInstitution のいずれのdiscriminator ([system]) もプロファイル http://jpfhir.jp/fhir/core/StructureDefinition/JP_MedicationRequest|1.2.0-dev に一致させることができませんでした - 1 discriminator [system] のいずれも固定値、バインディング、存在アサーションを持っていません (PROCESSING)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/MedicationRequest-jp-medicationrequest-example-2.json: line 14, col 6, Error - スライシングは評価できません：スライス MedicationRequest.identifier:requestIdentifierInstitution のいずれのdiscriminator ([system]) もプロファイル http://jpfhir.jp/fhir/core/StructureDefinition/JP_MedicationRequest|1.2.0-dev に一致させることができませんでした - 1 discriminator [system] のいずれも固定値、バインディング、存在アサーションを持っていません (PROCESSING)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/MedicationRequest-jp-medicationrequest-example-2.json: line 18, col 6, Error - スライシングは評価できません：スライス MedicationRequest.identifier:requestIdentifierInstitution のいずれのdiscriminator ([system]) もプロファイル http://jpfhir.jp/fhir/core/StructureDefinition/JP_MedicationRequest|1.2.0-dev に一致させることができませんでした - 1 discriminator [system] のいずれも固定値、バインディング、存在アサーションを持っていません (PROCESSING)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/StructureDefinition-jp-imagingstudy-endoscopy.json: line 0, col 0, Error - snapshotの生成エラー: null (これは通常、differantialに問題がある場合に発生します) (EXCEPTION)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/StructureDefinition-jp-imagingstudy-radiology.json: line 0, col 0, Error - snapshotの生成エラー: null (これは通常、differantialに問題がある場合に発生します) (EXCEPTION)

err = 9, warn = 0, info = 0
IG Publisher Version: 1.8.1
